Coverage,Dataset,Model,R2,MAE,RMSE,n
2-way,Test,Global descriptors + Ridge,0.9526013177488346,7.708187985969396,19.225410147316897,48390
2-way,Target,Global descriptors + Ridge,0.9551314243953609,6.774443400668164,15.546676193917015,55
2-way,Test,Global descriptors + XGBoost,0.9945722278363387,2.9123126356284907,6.558106945096455,48390
2-way,Target,Global descriptors + XGBoost,0.9975328295749527,2.068753925670277,3.6455745774247776,55
2-way,Test,Full heterogeneous LCG + HeteroSAGE,0.9968,2.5744,4.9821,~4838
2-way,Target,Full heterogeneous LCG + HeteroSAGE,0.9991,1.1865,2.1757,55
3-way,Test,Global descriptors + Ridge,0.9191097572865168,56.78510364424544,207.29215236687998,46000
3-way,Target,Global descriptors + Ridge,0.9777585623487421,54.48250633889114,139.09536391210324,55
3-way,Test,Global descriptors + XGBoost,0.993137162896598,16.8206188696571,59.45310389277811,46000
3-way,Target,Global descriptors + XGBoost,0.9994173448944316,14.590524522607973,22.513188377259397,55
3-way,Test,Full heterogeneous LCG + HeteroSAGE,0.9896,25.6182,73.1478,~4599
3-way,Target,Full heterogeneous LCG + HeteroSAGE,0.9995,11.575,20.7322,55
